Date,Open,High,Low,Close,Volume
12/8/2021,35716.85,35840.52,35602.65,35754.75,387650000
12/7/2021,35423.99,35819.47,35423.99,35719.43,474940000
12/6/2021,34633.43,35356.75,34633.43,35227.03,416720000
12/3/2021,34692.78,34801.31,34264.57,34580.08,439550000
12/2/2021,34076.25,34759.65,34076.25,34639.79,466900000
12/1/2021,34678.94,35004.64,34006.98,34022.04,496000000
11/30/2021,35056.99,35056.99,34424.44,34483.72,678800000
11/29/2021,35017.71,35287.91,34895.89,35135.94,416040000
11/26/2021,35366.69,35366.69,34749.8,34899.34,324580000
11/24/2021,35752.31,35825.47,35591.03,35804.38,280960000
11/23/2021,35619.92,35841.52,35542.87,35813.8,392520000
11/22/2021,35631.41,35929.66,35615.55,35619.25,420810000
11/19/2021,35879.09,35879.09,35555.37,35601.98,408840000
11/18/2021,35901.69,35952.63,35654.39,35870.95,435080000
11/17/2021,36159.7,36159.7,35909.48,35931.05,358310000
11/16/2021,36076.18,36316.61,36076.18,36142.22,308290000
11/15/2021,36128.83,36236.07,36031.78,36087.45,280660000
11/12/2021,35963.78,36147.63,35934.59,36100.31,293180000
11/11/2021,36038.78,36108.17,35915.27,35921.23,270320000
11/10/2021,36299.25,36346.61,36009.5,36079.94,278390000
11/9/2021,36404.53,36416.98,36173.07,36319.98,258020000
11/8/2021,36416.46,36565.73,36334.42,36432.22,284400000
11/5/2021,36268.75,36484.75,36190.2,36327.95,344600000
11/4/2021,36107.46,36168.03,35986.48,36124.23,307640000
11/3/2021,36059.09,36178.51,35891.73,36157.58,262540000
11/2/2021,35935.11,36088.81,35884.13,36052.63,304510000
11/1/2021,35833.65,36009.74,35797.97,35913.84,292880000
10/29/2021,35712.28,35852.53,35633.2,35819.56,399400000
10/28/2021,35545.41,35742.25,35545.41,35730.48,337400000
10/27/2021,35835.43,35835.43,35490.43,35490.69,354180000
10/26/2021,35791.05,35892.92,35734.73,35756.88,321910000
10/25/2021,35692.62,35787.04,35629.37,35741.15,267220000
10/22/2021,35607.72,35765.02,35533.95,35677.02,346290000
10/21/2021,35520.32,35612.36,35442.53,35603.08,298390000
10/20/2021,35475.16,35669.69,35465.71,35609.34,265750000
10/19/2021,35325.37,35462.68,35290.12,35457.31,278510000
10/18/2021,35221.02,35327.57,35035.94,35258.61,312640000
10/15/2021,35023.63,35320.97,35023.63,35294.76,327870000
10/14/2021,34443.22,34923.83,34443.22,34912.56,338540000
10/13/2021,34372.71,34449.83,34115.1,34377.81,316220000
10/12/2021,34507.15,34611.24,34318.94,34378.34,319010000
10/11/2021,34723.79,34951.35,34486.51,34496.06,256820000
10/8/2021,34757.57,34842.62,34661.95,34746.25,238080000
